Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,Great Benefits,Great Benefits and Work Life Balance with kind colleagues and workers,"Uncompetitive pay, slow career growth and there can be so much uncertainty about promotion and pay adjustment","Verified User Current Employee B****** Finance Manager - Apr 28, 2022",
4,Great firm,The company has so many amazing products so you can learn more.,Microsoft is large and complex organization so you will have to align with more teams.,"Verified User Current Employee w***** Produce Manager - Apr 27, 2022",
4,"Ok wlb, lot on the team",Ok wlbPolitics depends on teamRemote options available.Decent benefits.,Old boys club.Too much focus on d&i instead of actual issues.No high level transparency.,"Verified User Current Employee t******** Senior Software Engineer - Apr 27, 2022",
5,Good place to start,"- Many teams with different areas to explore- Diverse skill sets, opinions feel heard- Very supportive managers - Industry leader and brand reputation",- Some teams have very different WLB and working styles- Internal movement same as external,"Verified User Current Employee D****** Program Manager - Apr 27, 2022",
4,Good place to start a career,"Willing to train you, most people are nice. Good work life balance",Lots of old Microsoft culture still around. Need to be able to spot it and find a different team,"Verified User Current Employee L***** Software Engineer II - Apr 27, 2022",
3,good wlb,stable companygood wlbdecent workgood health insurancehybrid,management lacking lack of mentoringcompensationstructure changes slow bonus low,"Verified User Current Employee r****** Software Engineer - Apr 27, 2022",
3,Bad compensation,It's immigration and green card policy is pretty good.,The compensation is too low. Life quality is dropping badly with all other companies in the area improving their compensation.,"Verified User Current Employee b***** Senior Software Development Engineer - Apr 27, 2022",
5,Wlb,Wlb is great in msft and it has good vibes,Compensation is low in comparison to other companies where they have better rsu,"Verified User Current Employee z***** Customer Engineer - Apr 27, 2022",
4,Great work life balance,"Work life, culture are better than some of the others",Compensation is lower than the rest of large companies around,"Verified User Current Employee P***** Engineering Manager - Apr 27, 2022",
5,Best culture ever,"Wonderful culture , supportive communities , caring , values are front and center",Not much downside of working for Microsoft- everything works you just need to stay the course,"Verified User Current Employee p****** Director of Business Operations - Apr 27, 2022",
3,Mixed Feelings,-Working for Microsoft really propelled my career forward and I learned a lot just from being around a lot of smart people.-401(k) is industry leading. 50% match on 100% of your salary up to the IRS maximum. Vests immediately.-Healthcare is a high deductible plan where MSFT covers you and dependents at no cost (even domestic partners) and they contribute to HSA account-Perks+ is $1500/year-No pushback when taking time off,-Slow to progress in your career and even if you do it is in an acting role with no promo.-Pay lags the industry standard-Stock awards are laughable-Claim they don't do stack ranking - they do stack ranking with a bell curve-Management is disorganized and communication is poor (even before COVID)Burn out is real and there is little management will try to do to remedy,"Verified User Current Employee b****** Support Engineer - Apr 27, 2022",
5,OK,Very good work-life balance.Everyone is self-aware about low comp.Work on large problems but not new problems.,As always very team dependent.Not a lot of learning opportunities within some teams as it's just maintenance.No real reason to stay afte cliff.,"Verified User Current Employee P********* Software Engineer II - Apr 27, 2022",
5,Great company. Love Microsoft. Get to work with some of the nicest people,Great peopleHumble cultureGetting better. Shifty people are getting washed out,Feels like a large company in that it's hard to get tractionPathetic morale budgets and perks like food Hard to move around,"Verified User Current Employee t********* Research Manager - Apr 26, 2022",
4,Great opportunity to grow and good culture.,- A lot of opportunity to lead and grow.- No perf scores. No competitive environment inside teams.- Good work life balance if you put limits on your work time.,"- Compensation, which results in shifting to non-US locations and large attrition rate for mid-career levels.- Infrastructure is still lacking behind some other tech giants.","Verified User Current Employee a******* Principal Software Engineer - Apr 26, 2022",
3,good wlb,well defined rolesmassive scalesmart colleaguesstock doing wellgood (no great) tooling in most divisions,tech stack generally not open sourceprobably lowest comp in MANGA companiesa shocking amount of QA has not been automated,"Verified User Former Employee t***** Software Engineer II - Apr 26, 2022","career growth, proximity to family, opportunities to work at smaller more nimble companies"
4,"great work life balance, but pay could be better","awesome work life balance, great culture and everyone is nice","pay is the lowest out of the bigger companies, low refresher and target bonuses","Verified User Current Employee B****** Software Engineer - Apr 26, 2022",
4,Great place to retire in your career,- Great work life balance- Rest and vest- Learning is pretty decent,- Compensation is 🥜- Promotions are very slow- Not a big trust in the management chain except CEO,"Verified User Current Employee i******* Software Design Engineer - Apr 26, 2022",
5,"Great WLB, but compensation needs to go up to remain competitive",Good WLBGood engineering principlesHelpful teammates with lots of retention,"Pay is not competitive anymore, unicorns and all other big companies pay WAY more","Verified User Current Employee E***** Software Engineer - Apr 26, 2022",
5,Let the right job find you.,I was recruited because I fit the role perfectly. I am on a track to promotion within a year doubling my previous employer's salary.,"A lot of movement within teams. Most are promotions, that's good just hard to plan for.","Verified User Current Employee q***** Escalation Engineer - Apr 26, 2022",
4,Good for growth,Management helps you to grow in careerManagement do care about their employeesLot goodies and benefits. Probably best in the world.,Comp is lower than other complete companies. Performance reward is centred towards average employees than high performing one.,"Verified User Current Employee x***** Senior Manager, Engineering - Apr 26, 2022",
1,Hire random people without looking into profiles,Good reputation Learning opportunities Location opportunities Visa opportunities T b d,Large orgMany red tapsWork profile mismatch Over time,"Verified User Current Employee X***** Hardware Engineer II - Apr 26, 2022",
5,"Great WLB, confidence in leadership (on my team and at the C level), good mentorship","Great WLB, confidence in leadership (on my team and at the C level)","Re-orgs, turnover, apparently compensation is behind other similar companies, but I've always been happy","Verified User Current Employee p******* Senior Data Scientist - Apr 26, 2022",
3,Don't come here for financial or career growth,Get to work on non-Ad related products which are trying to empower others to build,No career or financial growth unless if you know how to play politics.,"Verified User Current Employee f***** UX Engineer - Apr 26, 2022",
4,Great work life balance,Company is a great place for flexibility and work life balance,"Career growth can feel stuck after a certain stage, compensation is not at par","Verified User Current Employee A***** Data Scientist Manager - Apr 26, 2022",
4,"Good WLB, at the cost of Growth & Comp!",Culture is very good.Leadership is amazing.Work - Life Balance is also nice.,Growth really depends on your team.Compensation/Benefits is not top-notch,"Verified User Current Employee N******** Software Engineer II - Apr 26, 2022",
4,Great wlb but bad TC,- great team & manager- great wlb (~20hrs/wk)- remote friendly,- very bad TC- growth is slow (stay away if yo are looking for great growth),"Verified User Former Employee N***** Software Engineer - Apr 26, 2022","Very low TC, and slow growth with no promotion at sight"
